ACC (%),PRE (%),REC (%),F1 (%),ROC AUC (%)
Train CountVec,99.80,100.00,99.55,99.78,99.78
Train CountVec porter,99.80,99.78,99.78,99.78,99.80
Train CountVec snowball,99.80,100.00,99.55,99.78,99.78
Train CountVec wl,99.50,100.00,98.88,99.44,99.44
Train CountVec porter+wl,99.50,99.77,99.10,99.44,99.46
Train CountVec snowball+wl,99.50,100.00,98.88,99.44,99.44
Train TfidfVec,99.80,100.00,99.55,99.78,99.78
Train TfidfVec porter,99.80,99.55,100.00,99.78,99.82
Train TfidfVec snowball,99.80,100.00,99.55,99.78,99.78
Train TfidfVec wl,99.40,99.33,99.33,99.33,99.39
Train TfidfVec porter+wl,99.40,99.55,99.10,99.33,99.37
Train TfidfVec snowball+wl,99.40,99.55,99.10,99.33,99.37
Test CountVec,63.00,72.46,47.62,57.47,63.81
Test CountVec porter,62.00,73.02,43.81,54.76,62.96
Test CountVec snowball,64.00,76.19,45.71,57.14,64.96
Test CountVec wl,59.00,65.33,46.67,54.44,59.65
Test CountVec porter+wl,64.00,73.24,49.52,59.09,64.76
Test CountVec snowball+wl,62.00,71.01,46.67,56.32,62.81
Test TfidfVec,64.50,80.36,42.86,55.90,65.64
Test TfidfVec porter,64.00,77.05,44.76,56.63,65.01
Test TfidfVec snowball,66.00,77.61,49.52,60.47,66.87
Test TfidfVec wl,60.50,67.11,48.57,56.35,61.13
Test TfidfVec porter+wl,60.50,66.67,49.52,56.83,61.08
Test TfidfVec snowball+wl,61.00,68.00,48.57,56.67,61.65
